"Chosen, the spirits of our ancestors guide me to world of dreams","Escolhida, os espíritos de nossos ancestrais me guiam ao mundo dos sonhos"
"Once they start tagging the slaves, you can head back if you like. It takes
 special training, so don't try to subdue the others yourself. You can do whatever
 you want just as long as you don't damage the goods.","Uma vez que eles começarem a marcar os escravos, você pode voltar se quiser. É preciso
 um treinamento especial, então não tente subjugar os outros você mesma. Você pode fazer o que
 quiser, contanto que você não danifique a mercadoria."
"The village dies. All of our futures die, too.","Escolhida. A aldeia morre. Todo o nosso futuro morre também."
"Oh, all right. What else is there to do as a Hubologist?","Ah, tudo certo. O que mais tem para fazer como uma Hubologista?"
"Navarro is relatively new and not fully staffed as yet. My sources tell me that they receive new recruits from time to time. Perhaps, if you went in alone, you could pose as a new arrival. I would suggest that. You could have your friends wait here.","Navarro é relativamente nova e ainda não está completamente guarnecida. Minhas fontes me dizem que eles recebem novos recrutas de tempos em tempos. Talvez, se você for lá sozinha, você possa se passar por uma recruta recém chegada. Seus amigos podem esperar aqui."
"Navarro is relatively new and not fully staffed as yet. My sources tell me that they receive new recruits from time to time. Perhaps you could pose as a new arrival. I would suggest that.","Navarro é relativamente nova e ainda não está completamente guarnecida. Minhas fontes me dizem que eles recebem novos recrutas de tempos em tempos. Talvez você possa se passar por uma recruta recém chegada. Eu recomendaria isso."
"I don't think I'm ready for this.","Acho que não estou pronta para isso."
"What do you know, you didn't even cry. I'm so proud of you... actually, that tat
 looks pretty good on you. Just give a holler when you're ready for your first slave run.","Quem diria, você nem sequer chorou. Estou tão orgulhoso de você... na verdade, essa tatoo
 ficou bem maneira em você. É só me avisar quando estiver pronta para o sua primeira caçada de escravos."
"Yeah, you might do... You don't need much in the way of brains to go on a run.
 If you fuck up, I'll just sell you off. If you think you can cut it you'll have
 to get a tattoo on your forehead identifying you to everyone as slaver.","É, você vai ser útil... Você não precisa ser nenhuma intelectual para ir em uma caçada.
  Se você fizer merda, eu vou te vender. Se você acha que pode dar conta, você terá
  que se tatuar na testa, identificando-se para todos como escravista."
"So what do I do now that I'm an Hubologist?","Então o que eu faço agora que sou uma Hubologista?"
"I am Ken Lee. I am the advisor to the Emperor. The Emperor advises me not to talk to you, and so I will not. Good day, fool.","Eu sou Ken Lee. Eu sou o conselheiro do Imperador. O Imperador me aconselhou a não falar com você, sendo assim eu não o farei. Tenha um bom dia, sua tola."
"Chosen. The village weakens. It is harder to touch your dreams.","Escolhida. A aldeia enfraquece. É mais difícil tocar seus sonhos."
"You fucking moron, what do you think I am, a fucking store or something? If you get
 a slave you'd like to sell, let me know. If you want to sell something else, go to a fucking store.","Sua retardada, o que você acha que sou, a porra de uma loja ou algo assim? Se você
 obtiver um escravo que você gostaria de vender, me avise. Se você quer vender outra coisa, vá até a porra de uma loja."
"Nothing. Thanks. Bye.","Nada. Obrigada. Tchau."
"Chosen? Chosen? Do you hear me?","Escolhida? Escolhida? Você consegue me ouvir?"
"Fuck it. I'm not cut out for this.","Que se foda. Eu não fui feita pra isso."
"Insults will get you nowhere, traveler, except removed from the Steel Palace. Kindly control your tongue.","Insultos não a levarão a parte alguma, viajante, a não ser para fora do Palácio de Aço. Por favor, controle sua língua."
"Him: Too bad. Her: You're committed now.","Ele: Que pena. Ela: Você está comprometida agora."
"I had an operative go and scout the base. Her reports recently stopped; I can only assume the worst. Please be careful","Eu enviei uma agente para observar a base. Recentemente os relatórios dela pararam de chegar. Eu só posso presumir o pior. Por favor seja cautelosa."
"I am Ken Lee, advisor to the Emperor. And you, my friend, appear to be simpleminded, so remember this: if you seek the Enclave, then you must take the Poseidon tanker to it. You'll need fuel for the tanker. You have my blessing.","Eu sou Ken Lee, conselheiro do Imperador. E você, minha amiga, parece ser simplória, então lembre-se disso: se você procura pelo Enclave, então você deve navegar com o petroleiro até eles. Você precisará de combustível para o petroleiro. Você tem minha bênção."
"I'll be careful. Thanks.","Serei cuidadosa, obrigada."
"What the hell. I must be crazy, but I'll do it.","Que diabos. Eu devo estar doida, mas eu aceito."
"Thanks. That's all I wanted to know.","Obrigada. Isso é tudo que eu queria saber."
"Chosen, our crops fail, our reserves are meager.","Escolhida, nossas colheitas morrem, nossas reservas são escassas."
"You fucking idiot. What the hell makes you think I want that moron back? It took
 him forever to fix a damn radio! A radio! You're stuck with him. I don't want him
 breaking anything else around here.","Sua idiota de merda. O que diabos faz você pensar que eu quero aquele retardado de volta? Levou
  uma eternidade para ele consertar a porra de um rádio! Um rádio! Você está presa com ele. Eu não quero ele
  quebrando mais nada por aqui."
"Not everyone is granted a chance to see the Emperor. You must first prove your worth. Are you willing to prove yours?","Nem todo mundo tem a chance de se encontrar com o Imperador. Você deve primeiro provar o seu valor. Você está disposta para provar o seu?"
"What would you like, friend?","O que você gostaria, amiga?"
"Oh no! The persecutor!","Ah não! A perseguidora!"
"Me be careful, thanks.","Eu ser cuidadosa, obrigada."
"Gee, thanks. So what else is there to do as a Hubologist?","Nossa, obrigada. Então o que mais tem para fazer como uma Hubologista?"
"Chosen. The village dies. All of our futures die, too.","Escolhida. A aldeia morre. Todo o nosso futuro morre também."
"I'm ready right now.","Eu estou preparada agora mesmo."
"I'm interested in joining.","Estou interessada em participar."
"Oh, really? Maybe I should just blow a hole through your head right here 'n now. What do you think, hot shot?","Sério? Talvez eu devesse abrir um buraco nessa sua cabeça agora mesmo. O que você acha, sua exibida?"
"You just going to stand there or are you going to say something?","Você só vai ficar aí parada ou vai dizer algo?"
