"Chosen, our crops fail, our reserves are meager.","Избранная, посевы вянут, запасы истощаются."
"Chosen, the spirits of our ancestors guide me to world of dreams","Избранная, духи наших предков направляют меня в мир грёз"
"Chosen. The village dies. All of our futures die, too.","Избранная. Деревня умирает. Всё наше будущее умирает вместе с ней."
"Chosen. The village weakens. It is harder to touch your dreams.","Избранная. Деревня слабеет. Всё тяжелее прикасаться к твоим снам."
"Chosen? Chosen? Do you hear me?","Избранная? Избранная? Ты меня слышишь?"
"Come in, Chosen One. There are things you must know.","Входи, Избранная. Есть вещи, которые тебе предстоит узнать."
"Our life is in your hands, Chosen One.","Наша жизнь в твоих руках, Избранная."
"Rest in peace, Chosen One.","Покойся с миром, Избранная."
"Several years after buying the Excavator Chip from the Chosen One, Marge LeBarge was able to purchase and control both the Morningstar and the newly opened Kokoweef mines.","Через несколько лет после покупки экскаваторного чипа у Избранной Мардж ЛеБарж уже владела шахтами ""Утренняя звезда"" и ""Коковеф""."
"Several years after the Chosen one sold the Excavator Chip to Dangerous Dan McGrew, Dan used the superior production of his Morningstar Mine to buy the Kokoweef mine and then to reopen the Great Wanamingo Mine.","Спустя несколько лет после того, как Избранная продала экскаваторный чип Опасному Дэну Мак-Грю, Дэн использовал прибыль от шахты ""Утренняя Звезда"", чтобы купить шахту ""Коковеф"", а потом снова открыл Великую Шахту Ванаминго."
"This will be your quest if you prove yourself worthy.","Это и будет твоим заданием, если тебя признают достойной."
"Two generations of the same bloodline were re-united, and their savior, the Chosen One, became Elder, presiding over the village in the years to come.","Два поколения воссоединились, а их спасительница, Избранная, стала Старейшей, и правила деревней много лет."
"Your hands hold our lives as a father holds his children.","Ты держишь в своих руках наши жизни, как мать держит на руках детей."
