 Chosen one!, ¡Elegida!
 and I'm a badass mofo. Just ask anybody., y soy una hijoputa peligrosa. Ve a preguntarle a otro.
 bastard., zorra.
 is caring and nurturing. That's what he told me last night., está cuidada y nutrida. Eso es lo que me dijo ayer por la noche.
 is sooooo handsome., es taaaan guapa.
 is the BEST. The BEST., es la MEJOR. La MEJOR.
 is the best boxing champion I've ever seen., es la mejor campeona de boxeo que haya visto.
 is the man!, es la elegida!
 miss ARR-YO. Me want go home, extraña ARRO-YO. Quiero irme a mi casita.
 of Arroyo. I'm the Chosen One., de Arroyo. Soy la Elegida.
" pounds, fresh from the wasteland and new to New Reno, "," libras, llegada desde el Yermo a Nuevo Reno, "
" the Brawler, y'know."," la Camorrista, ya sabes."
" was almost an unknown, fresh out of the wastes, before he came to box in New Reno. Mysterious! Deadly!"," era una desconocida, recién llegada del Yermo, antes de venir a boxear a Nuevo Reno. ¡Misteriosa! ¡Mortal!"
 when I grow up., cuando crezca.
! Just the hero we wanted to see!,! ¡Precisamente la heroína que queríamos ver!
! Tell us the Enclave story! Pleeeease?,! ¡Cuéntanos la historia del Enclave! Porfaaaaaa
"! Th' big hero! How can we help you? Maybe sing you something special, eh?","!La gran heroína! ¿Cómo podemos ayudarte? Quizá cantándote algo especial, ¿eh?"
! What's up? Ready to get back in the ring?,! ¿Qué tal? ¿Lista para volver al cuadrilátero?
"""I'm the Chosen One."" What crapola.","""Yo soy la Elegida"". Y una mierda."
"""Lost are those who will not seek the Hub."" If you should ever change your mind, you are always welcome.","""Perdidos están los que no buscan el Eje"". Si alguna vez cambias de opinión, siempre serás bienvenida."
$35? That seems kind of steep -- but I guess I am a bit scruffy. I'll take it.,"¿35 dólares? Eso parece un poco excesivo... pero supongo que estoy bastante desaliñada, así que acepto."
"(As soon as he sees you, Mason sneers.) Just the dumb mother fucker I was looking for. ","(En cuanto te ve, se burla). Precisamente la tonta hijaputa que estaba buscando. "
"(Gulp, gulp, gulp) Aaaahhhh! That's right fine of you, stranger! Fine person, indeed. Kind a man should have as his pardner. (Gulp) Did I ever tell you about the time I made my big strike?","(Gulp, gulp, gulp) ¡Aaaahhhh! ¡Eso está muy bien por tu parte, forastera! Buena persona, sí señor. El tipo de mujer al que tener por compadre. (Gulp) ¿Te he hablado alguna vez de cuando di mi gran golpe?"
"(She follows your eyes down to her breasts. She flushes angrily, opens her mouth... then pauses.) You're
 not terribly bright... (Studies your frame.) However, you are quite... strong. Come with me a moment.","(Sigue tu mirada hacia sus pechos. Se ruboriza enfadada, abre la boca... y hace una pausa). No eres demasiado espabilada… (estudia tu cuerpo). Sin embargo, eres bastante… fuerte. Ven conmigo un momento."
"(She raises an eyebrow.) My husband is not the jealous type, but he can become
 quite...irate...when a gracious invitation from a Bishop family member is refused. Are you
 *quite* certain you will not join me?","(Levanta una ceja). Mi marido no es de los celosos, pero puede sentirse bastante… irritado… cuando se rechaza una invitación de un miembro de la Familia Bishop. ¿Estás *totalmente* segura de que no quieres acompañarme?"
"(She raises an eyebrow.) My husband may be dead, but his men are at my disposal.
 They can become quite...irate...when an invitation from Mrs. Bishop is refused. Are you
 *quite* certain you will not join me?","(Levanta una ceja). Mi marido puede estar muerto, pero sus hombres están a mi disposición. Pueden sentirse bastante… irritados… cuando una invitación de la señora Bishop se rechaza. ¿Estás *totalmente* segura de que no quieres acompañarme?"
"(She smirks.) Well, aren't *you* a sharp one...","(Sonríe satisfecha). Bueno, no *eres* muy aguda..."
"(Stuart nods and smiles as you approach.) Hey, hero! Heard about what you did. Congratulations. What's up?","(Stuart asiente con la cabeza y sonríe cuando te aproximas). ¡Oye, heroína! He oído lo que hiciste. Felicidades. ¿Qué tal?"
"(Studies you.) Even under all that get-up, you still look like one of them tribals... (Snorts.) The boys said you got a
 briefcase for me. From a mutual ""acquaintance."" Let's see it.","(Te estudia) Si miro bajo tu ropa, sigo viendo a una de esos tribales… (resopla). Los muchachos dijeron que tenías un
 maletín para mí. De un mutuo ""conocido"". Veámoslo."
(The man turns his glare on you.) You look like an idiot.,(El hombre vuelve tu mirada hacia ti) Pareces una idiota.
(The woman looks up and glares at you.) Are you one of the control subjects? As if matters anyway...Guards! Detain this slave!,"(La mujer levanta la vista y te mira). ¿Eres una de los sujetos de control? Bueno, como si importase... ¡Guardias! ¡Detened a esta esclava!"
"(What, are you deaf? I said I got a suit; just sign here.)","(¿Qué, estás sorda? Te he dicho que tengo un traje; tan sólo firma aquí)."
"(You see a slot machine. Its shiny frame and golden handle gleam seductively beneath New Reno's lights. Its coin slot beckons you, and you feel your face flush with anticipation. As you stare at it, one of its three windows winks at you. From the coin slot you hear a throaty voice.) *Well, my word! Helloooo there, sugah. Show a girl a good time?*","(Ves una máquina tragaperras. Su brillante carcasa y dorada palanca resplandecen seductoramente bajo las luces de Nuevo Reno. Su ranura para monedas te atrae, y sientes que tu cara se ruboriza por las expectativas. Mientras te acercas, una de sus tres ventanitas te guiña un ojo. De la ranura para monedas escuchas una voz gutural). *¡Vaya, vaya! Hooooola, dulzura. ¿Le ofrecerás a una chica pasar un buen rato?*"
